grupo;subgrupo;seccion;ident;description;model;serial;color;status
2;0101;012;0583;MODULO CONTROL DE BIENES;;;;BUENO
2;0001;028;0584;FOTOCOPIADORA, MARCA: CANON F190504,SERIAL: (21)DQJ08182, COLOR: BLANCO/GRIS;;;BLANCO/GRIS;REGULAR
2;0001;055;0585;GUILLOTINA, MARCA: PREMIER 12, MATERIAL: METAL, COLOR: BLANCO;;;BLANCO;BUENO
2;0005;008;0588;ROUTER, MARCA: TL-WR741ND,SERIAL: 11471518389, COLOR: BLANCO;;;BLANCO;BUENO
2;0001;042;0590;ESCRITORIO, MATERIAL: FORMICA, COLOR: NEGRO CON ROYAL CHERRY;;;NEGRO CON ROYAL CHERRY;BUENO
2;0101;008;0597;UPS, MARCA: ISONIC,MODELO: 1000VA,SERIAL: E1201026536, MATERIAL: METAL, COLOR: NEGRO;1000VA;;NEGRO;BUENO
2;0101;008;0598;UPS, MARCA: ISONIC,MODELO: 1000VA,SERIAL: E1201026537, MATERIAL: METAL, COLOR: NEGRO;1000VA;;NEGRO;BUENO
2;0101;001;0603;COMPUTADOR, MARCA: AZZA,MODELO: TOLEDO,SERIAL: S/SERIAL, COLOR: NEGRO;TOLEDO;;NEGRO;BUENO
2;0001;102;0604;SILLA, MARCA: BERLIN,MODELO: EJECUTIVA, MATERIAL: TELA, COLOR: NEGRO;EJECUTIVA;;NEGRO;BUENO
2;0001;102;0608;SILLA,MODELO: GENOVA IMPORTADA, MATERIAL: TELA, COLOR: NEGRO;GENOVA IMPORTADA;;NEGRO;BUENO
2;0001;102;0609;SILLA,MODELO: GENOVA IMPORTADA, MATERIAL: TELA, COLOR: NEGRO;GENOVA IMPORTADA;;NEGRO;BUENO
2;0001;004;0610;ARCHIVADOR, MATERIAL: MADERA/FORMICA, COLOR: NEGRO Y ROYAL CHERRY;;;NEGRO Y ROYAL CHERRY;BUENO
2;0101;005;0614;MONITOR LG LED 18,5 E,MODELO: LG,SERIAL: 212NDCR33755, MATERIAL: PL�STICO, COLOR: NEGRO;LG;;NEGRO;BUENO
2;0101;008;0617;UPS,SERIAL: E12111035921, MATERIAL: PL�STICO, COLOR: NEGRO;;;NEGRO;BUENO
2;0101;010;0621;MEMORIA RAM,MODELO: KVR1333D3S8N9,SERIAL: 0000005893249;KVR1333D3S8N9;;;BUENO
2;0101;010;0622;DISCO DURO, MARCA: WESTER DIGITAL,MODELO: WD3200AAJ5, MATERIAL: METAL, COLOR: GRIS;WD3200AAJ5;;GRIS;BUENO
2;0101;010;0623;DISCO DURO PORTATIL, MARCA: WASH,SERIAL: 6588630015, MATERIAL: PL�STICO, COLOR: NEGRO;;;NEGRO;BUENO
